NomProduits;Année;Mois;QuantitéCommandé;MontantCommandé
Panadol sp Fl/100ml ;2023;5;20;15?640
Hypafix 10x10;2023;1;194;39?657
Urgocor pans coricide b/12;2023;1;30;3?570
Troypanto lp 40 mgb/10;2023;4;15;30?420
Troypanto lp 40 mgb/10;2023;6;13;30?364
Doxy 200mg cp B/8;2023;9;10;30?280
Molgam 100 cpr b/20;2023;8;10;30?280
Neuclav 1g/125 pdre sach 16;2023;7;20;30?260
Metformine arrow 1000mg cp pell b/30;2023;8;11;30?231
Amoxicilline 125mg ubigen fl 60ml;2023;9;10;30?210
Blooms test ;2023;5;10;30?210
Alcool 70ï¿½ Gilbert fl/125 ml;2023;2;20;30?000
Amoxicilline 125mg ubigen fl 60ml;2023;8;10;30?000
Bande de gaze 5mx10cm;2023;4;360;30?000
Calben cp B/1;2023;9;10;30?000
Carben100mg cp B/6;2023;9;10;30?000
Cary 250mg sp fl/60ml;2023;8;10;30?000
Compresse 30x30;2023;9;20;30?000
Compresse 30x30;2023;7;20;30?000
Compresse 30x30;2023;4;20;30?000
Compresse 30x30;2023;5;10;30?000
Doliprane 500mg  cp b/16;2023;7;50;30?000
Doliprane 500mg  cp b/16;2023;5;15;30?000
Farine enrichie;2023;7;12;30?000
FEmifer sp 200ml;2023;6;15;30?000
FEmifer sp 200ml;2023;5;11;30?000
Fervex Framboise AD sol buv sach b/8;2023;5;13;30?000
Fervex Framboise AD sol buv sach b/8;2023;1;15;30?000
Fil de suture nylon;2023;4;60;30?000
Fluocaril bi fluor menth 250 t/125mlb/2;2023;8;10;30?000
Haldol 2mg/mlsol buv f/30ml;2023;4;20;30?000
Haldol 2mg/mlsol buv f/30ml;2023;5;30;30?000
Haldol 2mg/mlsol buv f/30ml;2023;7;70;30?000
Kiss gold chaud/froid b/3;2023;9;24;30?000
Loperamide arrow cp B/20;2023;9;10;30?000
Loperamide arrow cp B/20;2023;8;13;30?000
Maxidrol pde opht T/3g;2023;9;10;30?000
Maxidrol pde opht T/3g;2023;7;10;30?000
Mebendazole ubi bte 10plaquetes x6 ;2023;5;20;30?000
Megamylase 200 UI sp Fl/125ml;2023;9;20;30?000
Nemozole cp B/1;2023;8;10;30?000
Nemozole cp B/1;2023;4;10;30?000
Netazox 500 cp B/6;2023;4;40;30?000
Netazox 500 cp B/6;2023;3;45;30?000
Netazox sp Fl/30ml;2023;2;10;30?000
Ninfea;2023;6;24;30?000
Panadol sp Fl/100ml ;2023;4;45;30?000
Panadol sp Fl/100ml ;2023;7;135;30?000
Pan Gentamycine 80mg  inj B/1;2023;8;12;30?000
PH7 5G Ganu efferv sach B/10;2023;4;11;30?000
Pyrantox sp FL/15ml;2023;7;15;30?000
Sonde 18;2023;5;10;30?000
Sro zing 20,8/20mg sachet/2+cpr10;2023;9;10;30?000
Stopalgic 1g cp b/400;2023;7;20;30?000
Tardyferon 80mg cp B/30;2023;2;11;30?000
Tardyferon 80mg cp B/30;2023;3;45;30?000
Tardyferon B9 cp B/30;2023;7;180;30?000
Vita C1000 cp B/10;2023;7;10;30?000
Xykaa extend 1000mg cp b/20;2023;3;10;30?000
Xykaa extend 1000mg cp b/20;2023;1;30;30?000
Zocin 500mg cp;2023;5;20;30?000
Diclo denk 100mg R plaq au detail;2023;8;10;50?000
Uvesterol ADEC sol buvable FL/10ml;2023;5;35;50?005
Blooms test ;2023;7;10;14?000
Sucria sucre diabete ;2023;2;20;20?200
Oscare cp pell b/30;2023;8;10;20?500
Alcool 70 gilbert medic f/500ml;2023;3;10;20?600
Zocin 500mg cp;2023;7;50;20?800
Uvesterol ADEC sol buvable FL/10ml;2023;7;175;3?400
Dicynone 250mg inj amp b/4;2023;4;15;34?005
Aclav 100/12.5 buv f/60ml;2023;1;18;37?008
Klipal codeine;2023;2;10;40?000
Paraco300denk;2023;7;10;40?000
Keozol 2% crï¿½me t/15;2023;9;10;40?100
Sucria sucre diabete ;2023;9;40;40?400
Omiz 20 b/14;2023;5;13;5?200
Fezomin C cp B/30;2023;7;55;50?500
Paraco300denk;2023;8;15;60?000
Cetradol cp 20;2023;3;12;6?600
Sucria sucre diabete ;2023;8;80;200?000
Spironolactone arrow 50mg cpr pell sec b/30;2023;8;11;891
Gel antiseptique main valda fl/ 500ml;2023;5;10;96?000
Gel antiseptique main valda fl/ 500ml;2023;9;10;50?600
Feremi sp ;2023;4;12;36?996
Epicran 5/10 25G orange;2023;1;13;1?014
Mentho valda b/12;2023;7;12;1?164
Klipal codeine;2023;7;30;1?200
Dicynone 250mg inj amp b/4;2023;1;14;1?229
Feremi sp ;2023;9;15;1?245
Urgo extensible pans adhe B/48;2023;7;48;1?392
Regulax granule ss  sachet b/20;2023;9;9;1?485
Accufast test de grossesse;2023;9;100;1?500
Aureomycine vald 1% opht T/15g;2023;4;10;1?690
Acefyl sp 120ml;2023;2;15;1?697
Panadol sp Fl/100ml ;2023;1;49;1?703
Terpara 500 cp eff b/16;2023;9;10;1?780
Vit Ccreat cp  sucer plaq /10x10;2023;7;10;1?890
Phartrim 200/400 susp buv;2023;4;10;1?920
Vaccin anti tetanique;2023;7;50;2?000
Prenatal denk;2023;3;10;2?070
Yotox lotion anti moustq 100ml;2023;7;10;2?100
Perfuseur;2023;3;10;2?110
Becozyme detail;2023;6;12;2?112
Urgo extensible pans adhe B/48;2023;5;48;2?208
Aureomycine vald 1% opht T/15g;2023;2;15;2?395
Seringue emb gavage 60ml b/1;2023;9;10;2?410
Terpara 500 cp eff b/16;2023;5;11;2?422
Urgo extensible pans adhe B/48;2023;1;53;2?438
Flubenda GH100mg cp b/6;2023;8;11;2?496
Physiodose serum 5ml/15;2023;1;10;2?520
Efferalgan vit c cp eff b/20;2023;7;60;2?640
Pyrantox sp FL/15ml;2023;1;18;2?652
Doxy denk 200 cp pell b/8;2023;5;18;2?682
Vit Ccreat cp  sucer plaq /10x10;2023;6;10;2?690
Diclo denk 100mg R plaq au detail;2023;2;55;2?740
Litamol 500mg eff b/80;2023;7;20;2?740
Apramol  500mg sec;2023;8;10;2?840
Vit Ccreat cp  sucer plaq /10x10;2023;1;10;2?840
Apramol  500mg sec;2023;6;10;2?890
Apramol  500mg sec;2023;4;10;2?960
Apramol  500mg sec;2023;9;10;3?000
Fer+Ac Folique PNA cp plaq/10;2023;5;200;3?000
Apramol  500mg sec;2023;2;10;3?020
Gardenal 50mg cp B/30;2023;9;10;3?020
Gardenal 50mg cp B/30;2023;8;10;3?020
Kiss gold confort max ;2023;1;20;3?020
Physiodose serum 5ml/15;2023;4;12;3?024
mebendazole ubi bte 10plaquetes x6 ;2023;1;26;3?062
Seringue emb gavage 60ml b/1;2023;3;10;3?090
Sro zing 20,8/20mg sachet/2+cpr10;2023;7;10;3?100
Phartrim 200/400 susp buv;2023;2;10;3?125
Dynapar EC cp b/10x10;2023;3;10;3?170
Allergyl sp Fl/60ml ;2023;5;12;3?192
Catheter G24 jaune;2023;7;10;3?210
Vit C 500 mg 10x10;2023;8;20;3?220
Coton 50g;2023;9;10;3?240
Restriva amp detail;2023;2;10;3?250
Nemozole cp B/1;2023;5;10;3?270
Loperamide ubi 2mg gel b/10x10;2023;2;10;3?360
Protec b/4 ;2023;5;24;3?360
B vit fort cp b/50;2023;3;10;3?380
Aureomycine vald 3% derm T/15g;2023;8;10;3?390
B vit fort plaquette;2023;8;10;3?450
B vit fort plaquette;2023;5;10;3?490
B vit fort plaquette;2023;3;10;3?560
Rapidex 500/10/30,5mg cp b/80;2023;7;20;3?560
Terpara 500 cp eff b/16;2023;7;15;3?560
Terpara 500mg cp sec b/20;2023;4;10;3?560
Terpara 500mg cp sec b/20;2023;8;10;3?560
Xykaa extend 1000mg cp b/20;2023;4;32;3?560
Metronidazole 500mg creat plaq/10 cp;2023;1;10;3?680
Fer+Ac Folique PNA cp plaq/10;2023;1;142;3?692
Dynapar SR 100 cp b/10x10;2023;5;10;3?710
Vogalene injet detail;2023;5;20;3?720
Laridox cp;2023;7;12;3?782
Vogalene injet detail;2023;4;20;3?840
Neutrocold cp etui/4 b/25;2023;8;25;3?875
Neutrocold cp etui/4 b/25;2023;9;25;3?875
Perfuseur;2023;1;20;3?880
Albendazole ubigen 400mg b/50;2023;5;50;3?900
Compresse 20x20;2023;9;10;3?910
Lasilix 20mg inj B/1;2023;3;10;3?930
Prï¿½servatif presa;2023;7;10;4?010
Aureomycine vald 3% derm T/15g;2023;2;12;4?014
Urgo extensible pans adhe B/48;2023;2;92;4?048
Lasilix 20mg inj B/1;2023;9;10;4?150
Transfuseur  label sch 1;2023;4;10;4?170
Bande de  crepe labell 4x7;2023;5;10;4?180
Bande de  crepe labell 4x7;2023;9;10;4?180
Albendazole ubigen 400mg b/50;2023;3;50;4?250
Transfuseur  label sch 1;2023;1;10;4?270
Maxidrol pde opht T/3g;2023;4;10;4?340
Zeben cp B/1;2023;3;10;4?340
Gel antiseptique main valda 50ml;2023;8;10;4?400
Talodol cp;2023;8;10;4?420
Sportie ultra mince b/48;2023;4;15;4?425
Zeben cp B/1;2023;8;10;4?430
Albendazole ubigen 400mg b/50;2023;2;100;4?500
